index,Country,Year,dataset,Age,variable,Single.Person_EDHIW,Head.or.Spouse_EDHIW,children,other,EDHIW
571,no,1986,no1986,14 Under,EDHIW,,,19872,,19872
572,no,1986,no1986,15 to 19 years,EDHIW,,,23528,22109,22978
573,no,1986,no1986,20 to 29 years,EDHIW,16633,19581,27380,23860,21835
574,no,1986,no1986,30 to 39 years,EDHIW,21241,21130,25738,27328,21503
575,no,1986,no1986,40 to 49 years,EDHIW,21387,24745,19994,23618,24356
576,no,1986,no1986,50 to 59 years,EDHIW,18359,25867,,24660,25013
577,no,1986,no1986,60 to 69 years,EDHIW,13619,21421,,21473,19909
578,no,1986,no1986,70 to 79 years,EDHIW,10709,16283,,,13852
579,no,1986,no1986,80 years and over,EDHIW,10212,12716,,23704,10731
581,no,1991,no1991,14 Under,EDHIW,,,20099,,20099
582,no,1991,no1991,15 to 19 years,EDHIW,,,23620,18240,23098
583,no,1991,no1991,20 to 29 years,EDHIW,18188,19006,28283,25362,22471
584,no,1991,no1991,30 to 39 years,EDHIW,22024,21465,26901,24797,21911
585,no,1991,no1991,40 to 49 years,EDHIW,21758,25754,22973,29610,24985
586,no,1991,no1991,50 to 59 years,EDHIW,18103,27619,,25946,25682
587,no,1991,no1991,60 to 69 years,EDHIW,15886,22669,,22738,21377
588,no,1991,no1991,70 to 79 years,EDHIW,12967,18296,,24893,16361
589,no,1991,no1991,80 years and over,EDHIW,11395,14664,,22312,12476
591,no,1995,no1995,14 Under,EDHIW,,,20674,,20674
592,no,1995,no1995,15 to 19 years,EDHIW,,,23509,20213,22859
593,no,1995,no1995,20 to 29 years,EDHIW,13604,19847,28156,29579,20826
594,no,1995,no1995,30 to 39 years,EDHIW,22008,22296,25036,,22309
595,no,1995,no1995,40 to 49 years,EDHIW,20285,25591,22074,,24916
596,no,1995,no1995,50 to 59 years,EDHIW,20382,28158,18652,,26712
597,no,1995,no1995,60 to 69 years,EDHIW,15548,22138,,,20776
598,no,1995,no1995,70 to 79 years,EDHIW,13098,17535,,,16169
599,no,1995,no1995,80 years and over,EDHIW,11064,15710,,20988,12523
601,se,2000,se2000,14 Under,EDHIW,,,19319,,19319
602,se,2000,se2000,15 to 19 years,EDHIW,4506,11996,22018,,21139
603,se,2000,se2000,20 to 29 years,EDHIW,14465,19490,26741,,18579
604,se,2000,se2000,30 to 39 years,EDHIW,18872,20545,24927,27230,20222
605,se,2000,se2000,40 to 49 years,EDHIW,17999,23295,21189,25952,22369
606,se,2000,se2000,50 to 59 years,EDHIW,19295,28125,,22146,26064
607,se,2000,se2000,60 to 69 years,EDHIW,15666,23726,,,21444
608,se,2000,se2000,70 to 79 years,EDHIW,12982,17515,,21219,15527
609,se,2000,se2000,80 years and over,EDHIW,12083,15650,,18325,12949
611,se,2005,se2005,14 Under,EDHIW,,,22239,,22239
612,se,2005,se2005,15 to 19 years,EDHIW,8777,13087,24626,,23924
613,se,2005,se2005,20 to 29 years,EDHIW,16480,22516,30633,,21043
614,se,2005,se2005,30 to 39 years,EDHIW,22269,23840,30159,31707,23600
615,se,2005,se2005,40 to 49 years,EDHIW,22160,26054,26769,,25391
616,se,2005,se2005,50 to 59 years,EDHIW,21288,31131,,,28780
617,se,2005,se2005,60 to 69 years,EDHIW,18891,27991,,,25218
618,se,2005,se2005,70 to 79 years,EDHIW,14544,19853,,22958,17942
619,se,2005,se2005,80 years and over,EDHIW,13845,18081,,22191,14941
621,se,1981,se1981,14 Under,EDHIW,,,14951,,14951
622,se,1981,se1981,15 to 19 years,EDHIW,7566,,,,7719
623,se,1981,se1981,20 to 29 years,EDHIW,13913,17284,,,15133
624,se,1981,se1981,30 to 39 years,EDHIW,15530,15705,,,15705
625,se,1981,se1981,40 to 49 years,EDHIW,16506,17404,,,17122
626,se,1981,se1981,50 to 59 years,EDHIW,15072,18196,,,17367
627,se,1981,se1981,60 to 69 years,EDHIW,12509,15404,,,14282
628,se,1981,se1981,70 to 79 years,EDHIW,10709,12168,,,11477
629,se,1981,se1981,80 years and over,EDHIW,9794,11197,,,10269
631,se,1987,se1987,14 Under,EDHIW,,,16198,,16198
632,se,1987,se1987,15 to 19 years,EDHIW,5734,15291,18113,,14684
633,se,1987,se1987,20 to 29 years,EDHIW,13270,17463,,,14745
634,se,1987,se1987,30 to 39 years,EDHIW,15994,17151,,,16854
635,se,1987,se1987,40 to 49 years,EDHIW,15830,19721,,,18810
636,se,1987,se1987,50 to 59 years,EDHIW,15277,20794,,,19462
637,se,1987,se1987,60 to 69 years,EDHIW,12594,16696,,,15359
638,se,1987,se1987,70 to 79 years,EDHIW,10239,12946,,,11744
639,se,1987,se1987,80 years and over,EDHIW,9318,11020,,,9768
641,se,1992,se1992,14 Under,EDHIW,,,18370,,18370
642,se,1992,se1992,15 to 19 years,EDHIW,4596,14751,20549,,15451
643,se,1992,se1992,20 to 29 years,EDHIW,14416,19213,,,16648
644,se,1992,se1992,30 to 39 years,EDHIW,17858,19821,,,19304
645,se,1992,se1992,40 to 49 years,EDHIW,18385,23308,,,22430
646,se,1992,se1992,50 to 59 years,EDHIW,17893,25381,,,23936
647,se,1992,se1992,60 to 69 years,EDHIW,14866,20624,,,18947
648,se,1992,se1992,70 to 79 years,EDHIW,12366,16337,,,14590
649,se,1992,se1992,80 years and over,EDHIW,10844,12855,,,11395
651,se,1995,se1995,14 Under,EDHIW,,,16976,,16976
652,se,1995,se1995,15 to 19 years,EDHIW,3038,11788,18615,,15064
653,se,1995,se1995,20 to 29 years,EDHIW,12259,17701,,,14484
654,se,1995,se1995,30 to 39 years,EDHIW,16408,17936,,,17597
655,se,1995,se1995,40 to 49 years,EDHIW,16898,20829,,,19853
656,se,1995,se1995,50 to 59 years,EDHIW,17311,23626,,,21798
657,se,1995,se1995,60 to 69 years,EDHIW,15286,19759,,,18170
658,se,1995,se1995,70 to 79 years,EDHIW,13732,16229,,,15090
659,se,1995,se1995,80 years and over,EDHIW,13351,14347,,,13722
661,uk,2004,uk2004,14 Under,EDHIW,,,18984,20103,19037
662,uk,2004,uk2004,15 to 19 years,EDHIW,10789,14206,22278,19418,21603
663,uk,2004,uk2004,20 to 29 years,EDHIW,20492,24152,30143,26433,25918
664,uk,2004,uk2004,30 to 39 years,EDHIW,25594,24145,25585,38683,24505
665,uk,2004,uk2004,40 to 49 years,EDHIW,21634,27010,20981,24230,26356
666,uk,2004,uk2004,50 to 59 years,EDHIW,17876,28561,18720,24127,26745
667,uk,2004,uk2004,60 to 69 years,EDHIW,14913,20518,,23850,19180
668,uk,2004,uk2004,70 to 79 years,EDHIW,14468,17083,,22722,16178
669,uk,2004,uk2004,80 years and over,EDHIW,14367,16200,,23878,15509
671,uk,2007,uk2007,14 Under,EDHIW,,,20432,22301,20509
672,uk,2007,uk2007,15 to 19 years,EDHIW,,14678,24577,14013,23220
673,uk,2007,uk2007,20 to 29 years,EDHIW,20436,25752,30920,24038,26718
674,uk,2007,uk2007,30 to 39 years,EDHIW,27319,26258,27180,36129,26586
675,uk,2007,uk2007,40 to 49 years,EDHIW,23579,28508,21846,24742,27656
676,uk,2007,uk2007,50 to 59 years,EDHIW,18488,30187,20804,21814,28075
677,uk,2007,uk2007,60 to 69 years,EDHIW,16956,22984,,24024,21577
678,uk,2007,uk2007,70 to 79 years,EDHIW,16362,19567,,24444,18368
679,uk,2007,uk2007,80 years and over,EDHIW,16166,19139,,24321,17533
681,uk,2010,uk2010,14 Under,EDHIW,,,20368,21635,20399
682,uk,2010,uk2010,15 to 19 years,EDHIW,9406,12837,22845,13936,21719
683,uk,2010,uk2010,20 to 29 years,EDHIW,18851,21834,28436,18153,23424
684,uk,2010,uk2010,30 to 39 years,EDHIW,26114,25776,25831,33795,25982
685,uk,2010,uk2010,40 to 49 years,EDHIW,21057,26936,24503,27522,26446
686,uk,2010,uk2010,50 to 59 years,EDHIW,18681,28831,21411,24854,27205
687,uk,2010,uk2010,60 to 69 years,EDHIW,18053,24188,,23482,22604
688,uk,2010,uk2010,70 to 79 years,EDHIW,17385,20189,,24837,19156
689,uk,2010,uk2010,80 years and over,EDHIW,17207,19358,,25284,18451
691,uk,1979,uk1979,14 Under,EDHIW,,,12575,12437,12575
692,uk,1979,uk1979,15 to 19 years,EDHIW,,14473,15961,15607,15802
693,uk,1979,uk1979,20 to 29 years,EDHIW,14770,14182,20455,18833,15765
694,uk,1979,uk1979,30 to 39 years,EDHIW,18151,13839,15325,16262,13966
695,uk,1979,uk1979,40 to 49 years,EDHIW,13999,16927,14831,15597,16726
696,uk,1979,uk1979,50 to 59 years,EDHIW,11911,16667,,21280,16156
697,uk,1979,uk1979,60 to 69 years,EDHIW,7604,11042,,12559,10096
698,uk,1979,uk1979,70 to 79 years,EDHIW,7147,8352,,14275,7872
699,uk,1979,uk1979,80 years and over,EDHIW,6983,8628,,15627,7717
701,uk,1986,uk1986,14 Under,EDHIW,,,11944,12131,11960
702,uk,1986,uk1986,15 to 19 years,EDHIW,,10386,15972,16313,15783
703,uk,1986,uk1986,20 to 29 years,EDHIW,13365,14174,20337,20161,16125
704,uk,1986,uk1986,30 to 39 years,EDHIW,17241,14465,14781,14785,14520
705,uk,1986,uk1986,40 to 49 years,EDHIW,14506,16994,15383,,16858
706,uk,1986,uk1986,50 to 59 years,EDHIW,12073,17069,,,16559
707,uk,1986,uk1986,60 to 69 years,EDHIW,9604,12630,,13782,11900
708,uk,1986,uk1986,70 to 79 years,EDHIW,8766,10061,,14616,9553
709,uk,1986,uk1986,80 years and over,EDHIW,8641,10632,,15561,9400
711,uk,1991,uk1991,14 Under,EDHIW,,,13124,13097,13124
712,uk,1991,uk1991,15 to 19 years,EDHIW,,8786,18782,14924,17995
713,uk,1991,uk1991,20 to 29 years,EDHIW,16834,17217,21902,22076,18997
714,uk,1991,uk1991,30 to 39 years,EDHIW,21536,16697,18447,,17132
715,uk,1991,uk1991,40 to 49 years,EDHIW,14989,20874,15460,,20213
716,uk,1991,uk1991,50 to 59 years,EDHIW,12194,19862,,,18980
717,uk,1991,uk1991,60 to 69 years,EDHIW,9390,14278,,16466,13419
718,uk,1991,uk1991,70 to 79 years,EDHIW,8235,11397,,19291,9852
719,uk,1991,uk1991,80 years and over,EDHIW,8636,10464,,18570,9604
721,uk,1994,uk1994,14 Under,EDHIW,,,13468,,13468
722,uk,1994,uk1994,15 to 19 years,EDHIW,8472,9569,18199,13630,17206
723,uk,1994,uk1994,20 to 29 years,EDHIW,16434,16513,23052,17421,18889
724,uk,1994,uk1994,30 to 39 years,EDHIW,19286,17143,17188,19893,17402
725,uk,1994,uk1994,40 to 49 years,EDHIW,16432,21690,16907,18869,20988
726,uk,1994,uk1994,50 to 59 years,EDHIW,12879,21026,15295,16362,19925
727,uk,1994,uk1994,60 to 69 years,EDHIW,10914,15426,,15683,14518
728,uk,1994,uk1994,70 to 79 years,EDHIW,10077,12606,,17909,11443
729,uk,1994,uk1994,80 years and over,EDHIW,9883,11961,,18401,10924
731,uk,1995,uk1995,14 Under,EDHIW,,,13188,13644,13202
732,uk,1995,uk1995,15 to 19 years,EDHIW,,9410,18620,13693,17872
733,uk,1995,uk1995,20 to 29 years,EDHIW,17077,16451,22983,15732,18103
734,uk,1995,uk1995,30 to 39 years,EDHIW,20745,16837,17316,19159,17176
735,uk,1995,uk1995,40 to 49 years,EDHIW,15311,21230,16135,,20701
736,uk,1995,uk1995,50 to 59 years,EDHIW,12716,20470,,,19515
737,uk,1995,uk1995,60 to 69 years,EDHIW,11344,15561,,13451,14613
738,uk,1995,uk1995,70 to 79 years,EDHIW,9863,11958,,16603,10946
739,uk,1995,uk1995,80 years and over,EDHIW,10131,11059,,17450,10602
741,uk,1999,uk1999,14 Under,EDHIW,,,15261,17712,15336
742,uk,1999,uk1999,15 to 19 years,EDHIW,7360,11423,20541,15797,19576
743,uk,1999,uk1999,20 to 29 years,EDHIW,17553,19303,26418,23548,22062
744,uk,1999,uk1999,30 to 39 years,EDHIW,22433,20333,21501,25376,20630
745,uk,1999,uk1999,40 to 49 years,EDHIW,18406,23455,17785,17981,22671
746,uk,1999,uk1999,50 to 59 years,EDHIW,15296,24111,19920,19769,22923
747,uk,1999,uk1999,60 to 69 years,EDHIW,11939,17097,,19736,15992
748,uk,1999,uk1999,70 to 79 years,EDHIW,11149,13822,,18893,12949
749,uk,1999,uk1999,80 years and over,EDHIW,11303,13044,,20702,12283
751,us,2000,us2000,14 Under,EDHIW,,,27174,23517,26770
752,us,2000,us2000,15 to 19 years,EDHIW,13204,18363,32535,23856,30485
753,us,2000,us2000,20 to 29 years,EDHIW,26657,26791,38835,30402,30030
754,us,2000,us2000,30 to 39 years,EDHIW,34586,32852,33044,33643,33115
755,us,2000,us2000,40 to 49 years,EDHIW,32103,38668,30286,33573,37562
756,us,2000,us2000,50 to 59 years,EDHIW,31012,42822,25816,32649,40462
757,us,2000,us2000,60 to 69 years,EDHIW,22069,33819,20126,31281,31358
758,us,2000,us2000,70 to 79 years,EDHIW,18034,27431,,34150,25168
759,us,2000,us2000,80 years and over,EDHIW,16806,24807,,33255,21581
761,us,2004,us2004,14 Under,EDHIW,,,28207,23828,27795
762,us,2004,us2004,15 to 19 years,EDHIW,10468,18664,32856,23861,30823
763,us,2004,us2004,20 to 29 years,EDHIW,24943,26805,39433,29906,29747
764,us,2004,us2004,30 to 39 years,EDHIW,32524,33358,32608,31761,33099
765,us,2004,us2004,40 to 49 years,EDHIW,31276,39077,29613,30742,37543
766,us,2004,us2004,50 to 59 years,EDHIW,28669,43595,25591,32101,40317
767,us,2004,us2004,60 to 69 years,EDHIW,23058,36028,23557,33355,33065
768,us,2004,us2004,70 to 79 years,EDHIW,17759,27161,,34002,24759
769,us,2004,us2004,80 years and over,EDHIW,16843,24378,,34353,21351
771,us,2007,us2007,14 Under,EDHIW,,,28169,22898,27678
772,us,2007,us2007,15 to 19 years,EDHIW,15163,19854,32294,23458,30466
773,us,2007,us2007,20 to 29 years,EDHIW,24811,27813,38310,30994,30307
774,us,2007,us2007,30 to 39 years,EDHIW,33545,34382,34563,33556,34283
775,us,2007,us2007,40 to 49 years,EDHIW,30974,38522,28892,31576,36991
776,us,2007,us2007,50 to 59 years,EDHIW,30052,43556,24068,32530,40207
777,us,2007,us2007,60 to 69 years,EDHIW,23666,38116,24312,33364,34924
778,us,2007,us2007,70 to 79 years,EDHIW,18281,28118,,32075,25560
779,us,2007,us2007,80 years and over,EDHIW,17490,24246,,32634,21366
781,us,2010,us2010,14 Under,EDHIW,,,27030,23218,26643
782,us,2010,us2010,15 to 19 years,EDHIW,8193,16303,30673,23508,29033
783,us,2010,us2010,20 to 29 years,EDHIW,24052,25950,36053,30698,29028
784,us,2010,us2010,30 to 39 years,EDHIW,32333,32928,32745,30422,32703
785,us,2010,us2010,40 to 49 years,EDHIW,29848,37570,29140,28014,35797
786,us,2010,us2010,50 to 59 years,EDHIW,26988,42144,26823,29926,38730
787,us,2010,us2010,60 to 69 years,EDHIW,24878,38638,25926,31462,35378
788,us,2010,us2010,70 to 79 years,EDHIW,19762,29479,,30609,26877
789,us,2010,us2010,80 years and over,EDHIW,17905,25437,,32231,22439
791,us,2013,us2013,14 Under,EDHIW,,,26977,23374,26567
792,us,2013,us2013,15 to 19 years,EDHIW,,20528,30758,22465,29154
793,us,2013,us2013,20 to 29 years,EDHIW,23211,25994,34503,28567,28499
794,us,2013,us2013,30 to 39 years,EDHIW,29455,32048,32577,31386,31751
795,us,2013,us2013,40 to 49 years,EDHIW,30237,36705,28766,28337,35070
796,us,2013,us2013,50 to 59 years,EDHIW,25573,39818,26201,29127,37044
797,us,2013,us2013,60 to 69 years,EDHIW,24107,38090,24626,30333,34608
798,us,2013,us2013,70 to 79 years,EDHIW,20022,31637,,30190,28626
799,us,2013,us2013,80 years and over,EDHIW,17437,26488,,32291,22531
801,us,1979,us1979,14 Under,EDHIW,,,23652,19811,23411
802,us,1979,us1979,15 to 19 years,EDHIW,14037,18787,29706,21611,28281
803,us,1979,us1979,20 to 29 years,EDHIW,25796,26484,36923,31510,28991
804,us,1979,us1979,30 to 39 years,EDHIW,34283,29022,31365,34828,29589
805,us,1979,us1979,40 to 49 years,EDHIW,30460,33558,24897,32846,33219
806,us,1979,us1979,50 to 59 years,EDHIW,23890,35971,23803,27086,34494
807,us,1979,us1979,60 to 69 years,EDHIW,16822,28751,24978,27756,26442
808,us,1979,us1979,70 to 79 years,EDHIW,14688,21808,,28644,19713
809,us,1979,us1979,80 years and over,EDHIW,13020,18747,,28650,17042
811,us,1986,us1986,14 Under,EDHIW,,,23054,19135,22691
812,us,1986,us1986,15 to 19 years,EDHIW,7982,14301,28755,20485,27256
813,us,1986,us1986,20 to 29 years,EDHIW,25661,25027,36668,30240,28424
814,us,1986,us1986,30 to 39 years,EDHIW,33642,29149,30209,33123,29723
815,us,1986,us1986,40 to 49 years,EDHIW,32304,35388,26122,32696,34857
816,us,1986,us1986,50 to 59 years,EDHIW,23861,36606,26738,29455,35112
817,us,1986,us1986,60 to 69 years,EDHIW,19873,31482,21494,28057,28984
818,us,1986,us1986,70 to 79 years,EDHIW,16060,26037,,30222,23220
819,us,1986,us1986,80 years and over,EDHIW,14908,21137,,31797,18958
821,us,1991,us1991,14 Under,EDHIW,,,22939,19067,22592
822,us,1991,us1991,15 to 19 years,EDHIW,12021,13124,28373,19367,26582
823,us,1991,us1991,20 to 29 years,EDHIW,25242,24047,37320,27863,27956
824,us,1991,us1991,30 to 39 years,EDHIW,32496,28802,31077,31190,29408
825,us,1991,us1991,40 to 49 years,EDHIW,32004,36206,24357,32205,35332
826,us,1991,us1991,50 to 59 years,EDHIW,26051,38092,21262,30395,36234
827,us,1991,us1991,60 to 69 years,EDHIW,20077,31206,20306,28815,28975
828,us,1991,us1991,70 to 79 years,EDHIW,17154,26267,,31052,23630
829,us,1991,us1991,80 years and over,EDHIW,15382,23161,,32934,19663
831,us,1994,us1994,14 Under,EDHIW,,,23219,20820,22998
832,us,1994,us1994,15 to 19 years,EDHIW,10014,14387,28742,21560,26969
833,us,1994,us1994,20 to 29 years,EDHIW,22771,23214,36506,28207,26758
834,us,1994,us1994,30 to 39 years,EDHIW,32923,29312,30609,28369,29665
835,us,1994,us1994,40 to 49 years,EDHIW,30639,35925,26204,28319,34956
836,us,1994,us1994,50 to 59 years,EDHIW,26539,38845,22243,27659,36668
837,us,1994,us1994,60 to 69 years,EDHIW,19599,30753,20576,29181,28541
838,us,1994,us1994,70 to 79 years,EDHIW,17629,26026,,29612,23314
839,us,1994,us1994,80 years and over,EDHIW,15414,21865,,32103,19357
841,us,1997,us1997,14 Under,EDHIW,,,24386,20622,23959
842,us,1997,us1997,15 to 19 years,EDHIW,7936,15967,29999,21941,28356
843,us,1997,us1997,20 to 29 years,EDHIW,24923,24906,37536,29682,28348
844,us,1997,us1997,30 to 39 years,EDHIW,32360,30256,31723,31027,30570
845,us,1997,us1997,40 to 49 years,EDHIW,31806,36368,28710,29706,35519
846,us,1997,us1997,50 to 59 years,EDHIW,27619,41093,24733,32563,38875
847,us,1997,us1997,60 to 69 years,EDHIW,20276,33333,21320,32669,30980
848,us,1997,us1997,70 to 79 years,EDHIW,17982,27315,,31542,24716
849,us,1997,us1997,80 years and over,EDHIW,16696,23742,,32656,20216
