Country,Year,Survey,Age,Single.Person_EDHIW,Head.or.Spouse_EDHIW
Australia,2001,AU2001,14 and Under,0,0
Australia,2001,AU2001,15 to 19 years,0,19397
Australia,2001,AU2001,20 to 24 years,20812,22347
Australia,2001,AU2001,25 to 29 years,23940,25873
Australia,2001,AU2001,30 to 34 years,25709,22120
Australia,2001,AU2001,35 to 39 years,23215,20494
Australia,2001,AU2001,40 to 44 years,23804,23542
Australia,2001,AU2001,45 to 49 years,21673,26739
Australia,2001,AU2001,50 to 54 years,16686,27137
Australia,2001,AU2001,55 to 59 years,10338,23725
Australia,2001,AU2001,60 to 64 years,11109,18148
Australia,2001,AU2001,65 to 69 years,10066,14372
Australia,2001,AU2001,70 to 74 years,10202,13241
Australia,2001,AU2001,75 to 79 years,10066,14203
Australia,2001,AU2001,80 years and over,0,0
Australia,2003,AU2003,14 and Under,0,0
Australia,2003,AU2003,15 to 19 years,0,18263
Australia,2003,AU2003,20 to 24 years,18889,22927
Australia,2003,AU2003,25 to 29 years,23387,25441
Australia,2003,AU2003,30 to 34 years,25871,22715
Australia,2003,AU2003,35 to 39 years,23130,20924
Australia,2003,AU2003,40 to 44 years,25100,22627
Australia,2003,AU2003,45 to 49 years,20388,27563
Australia,2003,AU2003,50 to 54 years,19575,28833
Australia,2003,AU2003,55 to 59 years,13064,24957
Australia,2003,AU2003,60 to 64 years,11094,18819
Australia,2003,AU2003,65 to 69 years,11479,15325
Australia,2003,AU2003,70 to 74 years,10580,13993
Australia,2003,AU2003,75 to 79 years,10451,14144
Australia,2003,AU2003,80 years and over,0,0
Australia,2008,AU2008,14 and Under,0,0
Australia,2008,AU2008,15 to 19 years,0,29961
Australia,2008,AU2008,20 to 24 years,22403,33445
Australia,2008,AU2008,25 to 29 years,30965,35274
Australia,2008,AU2008,30 to 34 years,30759,30372
Australia,2008,AU2008,35 to 39 years,35563,30777
Australia,2008,AU2008,40 to 44 years,29723,31460
Australia,2008,AU2008,45 to 49 years,26173,34416
Australia,2008,AU2008,50 to 54 years,25183,36601
Australia,2008,AU2008,55 to 59 years,23881,32751
Australia,2008,AU2008,60 to 64 years,16440,25774
Australia,2008,AU2008,65 to 69 years,13999,20306
Australia,2008,AU2008,70 to 74 years,11365,18816
Australia,2008,AU2008,75 to 79 years,13076,16515
Australia,2008,AU2008,80 years and over,11819,16855
Australia,2010,AU2010,14 and Under,0,0
Australia,2010,AU2010,15 to 19 years,0,25683
Australia,2010,AU2010,20 to 24 years,22872,32008
Australia,2010,AU2010,25 to 29 years,30418,36037
Australia,2010,AU2010,30 to 34 years,35183,32569
Australia,2010,AU2010,35 to 39 years,34081,29527
Australia,2010,AU2010,40 to 44 years,28120,29580
Australia,2010,AU2010,45 to 49 years,24508,34140
Australia,2010,AU2010,50 to 54 years,24862,36019
Australia,2010,AU2010,55 to 59 years,21505,34222
Australia,2010,AU2010,60 to 64 years,15182,27679
Australia,2010,AU2010,65 to 69 years,14770,20727
Australia,2010,AU2010,70 to 74 years,14194,17694
Australia,2010,AU2010,75 to 79 years,13453,16072
Australia,2010,AU2010,80 years and over,12782,17495
Australia,1985,AU1985,14 and Under,0,0
Australia,1985,AU1985,15 to 19 years,12339,17571
Australia,1985,AU1985,20 to 24 years,19852,20573
Australia,1985,AU1985,25 to 29 years,25657,21305
Australia,1985,AU1985,30 to 34 years,27647,19840
Australia,1985,AU1985,35 to 39 years,28974,20524
Australia,1985,AU1985,40 to 44 years,26204,23126
Australia,1985,AU1985,45 to 49 years,23268,25134
Australia,1985,AU1985,50 to 54 years,21212,26609
Australia,1985,AU1985,55 to 59 years,17182,23549
Australia,1985,AU1985,60 to 64 years,9868,17814
Australia,1985,AU1985,65 to 69 years,9719,13287
Australia,1985,AU1985,70 to 74 years,9520,12243
Australia,1985,AU1985,75 to 79 years,9404,12841
Australia,1985,AU1985,80 years and over,0,0
Australia,1989,AU1989,14 and Under,0,0
Australia,1989,AU1989,15 to 19 years,12621,17816
Australia,1989,AU1989,20 to 24 years,19335,24816
Australia,1989,AU1989,25 to 29 years,24162,22983
Australia,1989,AU1989,30 to 34 years,25550,19577
Australia,1989,AU1989,35 to 39 years,27900,20397
Australia,1989,AU1989,40 to 44 years,24839,23186
Australia,1989,AU1989,45 to 49 years,22749,26611
Australia,1989,AU1989,50 to 54 years,20161,26582
Australia,1989,AU1989,55 to 59 years,11335,23472
Australia,1989,AU1989,60 to 64 years,10703,18335
Australia,1989,AU1989,65 to 69 years,9940,14181
Australia,1989,AU1989,70 to 74 years,10112,13318
Australia,1989,AU1989,75 to 79 years,9528,13093
Australia,1989,AU1989,80 years and over,0,0
Australia,1995,AU1995,14 and Under,0,0
Australia,1995,AU1995,15 to 19 years,0,11962
Australia,1995,AU1995,20 to 24 years,16344,21568
Australia,1995,AU1995,25 to 29 years,21080,21968
Australia,1995,AU1995,30 to 34 years,22590,18504
Australia,1995,AU1995,35 to 39 years,19363,18192
Australia,1995,AU1995,40 to 44 years,24516,21106
Australia,1995,AU1995,45 to 49 years,19363,24161
Australia,1995,AU1995,50 to 54 years,16604,24907
Australia,1995,AU1995,55 to 59 years,10098,20465
Australia,1995,AU1995,60 to 64 years,9005,14648
Australia,1995,AU1995,65 to 69 years,9317,13728
Australia,1995,AU1995,70 to 74 years,9369,12882
Australia,1995,AU1995,75 to 79 years,8953,12109
Australia,1995,AU1995,80 years and over,0,0
Canada,2000,CA2000,14 and Under,0,0
Canada,2000,CA2000,15 to 19 years,5086,14189
Canada,2000,CA2000,20 to 24 years,11442,18582
Canada,2000,CA2000,25 to 29 years,21017,23873
Canada,2000,CA2000,30 to 34 years,22215,25030
Canada,2000,CA2000,35 to 39 years,23012,25127
Canada,2000,CA2000,40 to 44 years,20855,26832
Canada,2000,CA2000,45 to 49 years,19599,29682
Canada,2000,CA2000,50 to 54 years,17017,31875
Canada,2000,CA2000,55 to 59 years,14650,30117
Canada,2000,CA2000,60 to 64 years,11477,24342
Canada,2000,CA2000,65 to 69 years,16323,24031
Canada,2000,CA2000,70 to 74 years,16846,21811
Canada,2000,CA2000,75 to 79 years,16269,22931
Canada,2000,CA2000,80 years and over,15623,20822
Canada,2004,CA2004,14 and Under,0,0
Canada,2004,CA2004,15 to 19 years,6907,14573
Canada,2004,CA2004,20 to 24 years,12161,18632
Canada,2004,CA2004,25 to 29 years,21767,26783
Canada,2004,CA2004,30 to 34 years,24915,27480
Canada,2004,CA2004,35 to 39 years,24375,26164
Canada,2004,CA2004,40 to 44 years,21669,28593
Canada,2004,CA2004,45 to 49 years,20561,31733
Canada,2004,CA2004,50 to 54 years,20235,33428
Canada,2004,CA2004,55 to 59 years,15788,31277
Canada,2004,CA2004,60 to 64 years,15031,28318
Canada,2004,CA2004,65 to 69 years,17030,24859
Canada,2004,CA2004,70 to 74 years,17593,24893
Canada,2004,CA2004,75 to 79 years,18043,23157
Canada,2004,CA2004,80 years and over,16844,22690
Canada,2007,CA2007,14 and Under,0,0
Canada,2007,CA2007,15 to 19 years,5867,18266
Canada,2007,CA2007,20 to 24 years,12466,21087
Canada,2007,CA2007,25 to 29 years,21986,27219
Canada,2007,CA2007,30 to 34 years,29468,28548
Canada,2007,CA2007,35 to 39 years,26489,29159
Canada,2007,CA2007,40 to 44 years,21513,30216
Canada,2007,CA2007,45 to 49 years,23409,33036
Canada,2007,CA2007,50 to 54 years,21969,37120
Canada,2007,CA2007,55 to 59 years,20094,35501
Canada,2007,CA2007,60 to 64 years,17345,31267
Canada,2007,CA2007,65 to 69 years,18475,28892
Canada,2007,CA2007,70 to 74 years,18601,26157
Canada,2007,CA2007,75 to 79 years,19032,26556
Canada,2007,CA2007,80 years and over,17638,25216
Canada,2010,CA2010,14 and Under,0,0
Canada,2010,CA2010,15 to 19 years,6107,19285
Canada,2010,CA2010,20 to 24 years,15441,21480
Canada,2010,CA2010,25 to 29 years,23045,27875
Canada,2010,CA2010,30 to 34 years,25664,31466
Canada,2010,CA2010,35 to 39 years,30709,29958
Canada,2010,CA2010,40 to 44 years,27086,31464
Canada,2010,CA2010,45 to 49 years,23606,33995
Canada,2010,CA2010,50 to 54 years,20270,36267
Canada,2010,CA2010,55 to 59 years,19762,36227
Canada,2010,CA2010,60 to 64 years,17263,31262
Canada,2010,CA2010,65 to 69 years,20550,27715
Canada,2010,CA2010,70 to 74 years,19918,26469
Canada,2010,CA2010,75 to 79 years,17299,25586
Canada,2010,CA2010,80 years and over,18180,24988
Canada,1987,CA1987,14 and Under,0,0
Canada,1987,CA1987,15 to 19 years,0,15479
Canada,1987,CA1987,20 to 24 years,15640,21588
Canada,1987,CA1987,25 to 29 years,24495,24131
Canada,1987,CA1987,30 to 34 years,25421,24421
Canada,1987,CA1987,35 to 39 years,31524,25308
Canada,1987,CA1987,40 to 44 years,25489,27860
Canada,1987,CA1987,45 to 49 years,28091,29910
Canada,1987,CA1987,50 to 54 years,23091,29360
Canada,1987,CA1987,55 to 59 years,16225,29283
Canada,1987,CA1987,60 to 64 years,14904,25229
Canada,1987,CA1987,65 to 69 years,16157,22212
Canada,1987,CA1987,70 to 74 years,14945,19411
Canada,1987,CA1987,75 to 79 years,13555,18611
Canada,1987,CA1987,80 years and over,14359,16868
Canada,1991,CA1991,14 and Under,0,0
Canada,1991,CA1991,15 to 19 years,8193,11526
Canada,1991,CA1991,20 to 24 years,15558,20395
Canada,1991,CA1991,25 to 29 years,22252,24191
Canada,1991,CA1991,30 to 34 years,23919,23383
Canada,1991,CA1991,35 to 39 years,24530,25037
Canada,1991,CA1991,40 to 44 years,29271,26616
Canada,1991,CA1991,45 to 49 years,26376,30190
Canada,1991,CA1991,50 to 54 years,21462,31067
Canada,1991,CA1991,55 to 59 years,22377,29360
Canada,1991,CA1991,60 to 64 years,14892,24201
Canada,1991,CA1991,65 to 69 years,15911,22453
Canada,1991,CA1991,70 to 74 years,15964,20721
Canada,1991,CA1991,75 to 79 years,15560,19999
Canada,1991,CA1991,80 years and over,14368,18939
Canada,1994,CA1994,14 and Under,0,0
Canada,1994,CA1994,15 to 19 years,6531,12410
Canada,1994,CA1994,20 to 24 years,13582,19159
Canada,1994,CA1994,25 to 29 years,20089,24893
Canada,1994,CA1994,30 to 34 years,25455,24626
Canada,1994,CA1994,35 to 39 years,26102,24549
Canada,1994,CA1994,40 to 44 years,24844,27156
Canada,1994,CA1994,45 to 49 years,23605,30351
Canada,1994,CA1994,50 to 54 years,24456,31506
Canada,1994,CA1994,55 to 59 years,16283,28567
Canada,1994,CA1994,60 to 64 years,15494,24086
Canada,1994,CA1994,65 to 69 years,16171,23060
Canada,1994,CA1994,70 to 74 years,15716,22107
Canada,1994,CA1994,75 to 79 years,15717,20224
Canada,1994,CA1994,80 years and over,15022,18528
Canada,1997,CA1997,14 and Under,0,0
Canada,1997,CA1997,15 to 19 years,6458,12730
Canada,1997,CA1997,20 to 24 years,13483,19364
Canada,1997,CA1997,25 to 29 years,19519,24742
Canada,1997,CA1997,30 to 34 years,23887,24736
Canada,1997,CA1997,35 to 39 years,24350,24251
Canada,1997,CA1997,40 to 44 years,25244,26733
Canada,1997,CA1997,45 to 49 years,24289,29303
Canada,1997,CA1997,50 to 54 years,20653,31304
Canada,1997,CA1997,55 to 59 years,17149,28100
Canada,1997,CA1997,60 to 64 years,14084,24077
Canada,1997,CA1997,65 to 69 years,15459,22534
Canada,1997,CA1997,70 to 74 years,15504,21985
Canada,1997,CA1997,75 to 79 years,15579,22294
Canada,1997,CA1997,80 years and over,15210,19644
Canada,1998,CA1998,14 and Under,0,0
Canada,1998,CA1998,15 to 19 years,7128,11416
Canada,1998,CA1998,20 to 24 years,9402,17681
Canada,1998,CA1998,25 to 29 years,19904,24163
Canada,1998,CA1998,30 to 34 years,23062,25225
Canada,1998,CA1998,35 to 39 years,24232,25560
Canada,1998,CA1998,40 to 44 years,19990,27238
Canada,1998,CA1998,45 to 49 years,18146,30770
Canada,1998,CA1998,50 to 54 years,16843,32477
Canada,1998,CA1998,55 to 59 years,14594,28420
Canada,1998,CA1998,60 to 64 years,12070,24173
Canada,1998,CA1998,65 to 69 years,16306,22323
Canada,1998,CA1998,70 to 74 years,16183,21846
Canada,1998,CA1998,75 to 79 years,15999,21647
Canada,1998,CA1998,80 years and over,14804,19288
Germany,2000,DE2000,14 and Under,0,0
Germany,2000,DE2000,15 to 19 years,0,0
Germany,2000,DE2000,20 to 24 years,12565,19747
Germany,2000,DE2000,25 to 29 years,20237,22629
Germany,2000,DE2000,30 to 34 years,24015,25059
Germany,2000,DE2000,35 to 39 years,27650,25716
Germany,2000,DE2000,40 to 44 years,25628,28090
Germany,2000,DE2000,45 to 49 years,26403,30194
Germany,2000,DE2000,50 to 54 years,25011,31983
Germany,2000,DE2000,55 to 59 years,23674,31265
Germany,2000,DE2000,60 to 64 years,20287,27352
Germany,2000,DE2000,65 to 69 years,20177,24447
Germany,2000,DE2000,70 to 74 years,18654,23449
Germany,2000,DE2000,75 to 79 years,18052,23804
Germany,2000,DE2000,80 years and over,18982,24768
Germany,2004,DE2004,14 and Under,0,0
Germany,2004,DE2004,15 to 19 years,0,0
Germany,2004,DE2004,20 to 24 years,12161,18474
Germany,2004,DE2004,25 to 29 years,17529,21901
Germany,2004,DE2004,30 to 34 years,27057,25403
Germany,2004,DE2004,35 to 39 years,26635,25833
Germany,2004,DE2004,40 to 44 years,27260,26813
Germany,2004,DE2004,45 to 49 years,24123,30031
Germany,2004,DE2004,50 to 54 years,25318,31652
Germany,2004,DE2004,55 to 59 years,23447,31575
Germany,2004,DE2004,60 to 64 years,22004,28001
Germany,2004,DE2004,65 to 69 years,20559,24999
Germany,2004,DE2004,70 to 74 years,19778,23412
Germany,2004,DE2004,75 to 79 years,19464,22985
Germany,2004,DE2004,80 years and over,19266,24172
Germany,2007,DE2007,14 and Under,0,0
Germany,2007,DE2007,15 to 19 years,0,0
Germany,2007,DE2007,20 to 24 years,11745,18339
Germany,2007,DE2007,25 to 29 years,18787,22686
Germany,2007,DE2007,30 to 34 years,24740,24949
Germany,2007,DE2007,35 to 39 years,26721,25803
Germany,2007,DE2007,40 to 44 years,27677,27082
Germany,2007,DE2007,45 to 49 years,24800,29515
Germany,2007,DE2007,50 to 54 years,24747,31647
Germany,2007,DE2007,55 to 59 years,20672,30615
Germany,2007,DE2007,60 to 64 years,22639,27892
Germany,2007,DE2007,65 to 69 years,19591,24076
Germany,2007,DE2007,70 to 74 years,19397,22628
Germany,2007,DE2007,75 to 79 years,18185,20300
Germany,2007,DE2007,80 years and over,19353,24279
Germany,2010,DE2010,14 and Under,0,0
Germany,2010,DE2010,15 to 19 years,0,0
Germany,2010,DE2010,20 to 24 years,12687,17473
Germany,2010,DE2010,25 to 29 years,17990,23530
Germany,2010,DE2010,30 to 34 years,22632,26332
Germany,2010,DE2010,35 to 39 years,26888,25879
Germany,2010,DE2010,40 to 44 years,24791,28740
Germany,2010,DE2010,45 to 49 years,24927,31005
Germany,2010,DE2010,50 to 54 years,23445,31549
Germany,2010,DE2010,55 to 59 years,20243,30729
Germany,2010,DE2010,60 to 64 years,19515,27632
Germany,2010,DE2010,65 to 69 years,21300,24492
Germany,2010,DE2010,70 to 74 years,18805,23113
Germany,2010,DE2010,75 to 79 years,17461,22065
Germany,2010,DE2010,80 years and over,18151,22246
Germany,1978,DE1978,14 and Under,0,0
Germany,1978,DE1978,15 to 19 years,0,0
Germany,1978,DE1978,20 to 24 years,17608,25078
Germany,1978,DE1978,25 to 29 years,22991,26897
Germany,1978,DE1978,30 to 34 years,29425,27769
Germany,1978,DE1978,35 to 39 years,30358,27981
Germany,1978,DE1978,40 to 44 years,30266,27390
Germany,1978,DE1978,45 to 49 years,27718,28235
Germany,1978,DE1978,50 to 54 years,26471,29432
Germany,1978,DE1978,55 to 59 years,24186,28049
Germany,1978,DE1978,60 to 64 years,18803,25393
Germany,1978,DE1978,65 to 69 years,16702,22749
Germany,1978,DE1978,70 to 74 years,16584,20575
Germany,1978,DE1978,75 to 79 years,17004,20343
Germany,1978,DE1978,80 years and over,15310,19730
Germany,1981,DE1981,14 and Under,0,0
Germany,1981,DE1981,15 to 19 years,0,0
Germany,1981,DE1981,20 to 24 years,0,23762
Germany,1981,DE1981,25 to 29 years,23967,22394
Germany,1981,DE1981,30 to 34 years,25069,21172
Germany,1981,DE1981,35 to 39 years,0,23103
Germany,1981,DE1981,40 to 44 years,0,23168
Germany,1981,DE1981,45 to 49 years,0,24596
Germany,1981,DE1981,50 to 54 years,0,25941
Germany,1981,DE1981,55 to 59 years,20188,25142
Germany,1981,DE1981,60 to 64 years,17995,22784
Germany,1981,DE1981,65 to 69 years,16870,20252
Germany,1981,DE1981,70 to 74 years,15093,18426
Germany,1981,DE1981,75 to 79 years,13710,16700
Germany,1981,DE1981,80 years and over,16195,16557
Germany,1983,DE1983,14 and Under,0,0
Germany,1983,DE1983,15 to 19 years,15970,14874
Germany,1983,DE1983,20 to 24 years,19691,23696
Germany,1983,DE1983,25 to 29 years,21913,25243
Germany,1983,DE1983,30 to 34 years,25066,26974
Germany,1983,DE1983,35 to 39 years,28528,28864
Germany,1983,DE1983,40 to 44 years,28063,29561
Germany,1983,DE1983,45 to 49 years,26771,29272
Germany,1983,DE1983,50 to 54 years,24394,28761
Germany,1983,DE1983,55 to 59 years,23670,27591
Germany,1983,DE1983,60 to 64 years,20673,25983
Germany,1983,DE1983,65 to 69 years,17572,22365
Germany,1983,DE1983,70 to 74 years,0,0
Germany,1983,DE1983,75 to 79 years,0,0
Germany,1983,DE1983,80 years and over,0,0
Germany,1984,DE1984,14 and Under,0,0
Germany,1984,DE1984,15 to 19 years,0,0
Germany,1984,DE1984,20 to 24 years,13703,18066
Germany,1984,DE1984,25 to 29 years,19531,20897
Germany,1984,DE1984,30 to 34 years,24782,21658
Germany,1984,DE1984,35 to 39 years,25934,21883
Germany,1984,DE1984,40 to 44 years,27067,24620
Germany,1984,DE1984,45 to 49 years,24276,24489
Germany,1984,DE1984,50 to 54 years,22575,25077
Germany,1984,DE1984,55 to 59 years,16952,24856
Germany,1984,DE1984,60 to 64 years,15632,22253
Germany,1984,DE1984,65 to 69 years,15529,19862
Germany,1984,DE1984,70 to 74 years,15042,18238
Germany,1984,DE1984,75 to 79 years,15826,17333
Germany,1984,DE1984,80 years and over,12895,18622
Germany,1989,DE1989,14 and Under,0,0
Germany,1989,DE1989,15 to 19 years,0,0
Germany,1989,DE1989,20 to 24 years,13781,23434
Germany,1989,DE1989,25 to 29 years,21869,24527
Germany,1989,DE1989,30 to 34 years,26515,23837
Germany,1989,DE1989,35 to 39 years,27128,24311
Germany,1989,DE1989,40 to 44 years,27316,27409
Germany,1989,DE1989,45 to 49 years,27429,30242
Germany,1989,DE1989,50 to 54 years,24318,29797
Germany,1989,DE1989,55 to 59 years,21504,28527
Germany,1989,DE1989,60 to 64 years,18517,24838
Germany,1989,DE1989,65 to 69 years,19614,22755
Germany,1989,DE1989,70 to 74 years,17501,21426
Germany,1989,DE1989,75 to 79 years,16968,20325
Germany,1989,DE1989,80 years and over,17070,22555
Germany,1994,DE1994,14 and Under,0,0
Germany,1994,DE1994,15 to 19 years,0,0
Germany,1994,DE1994,20 to 24 years,13979,20535
Germany,1994,DE1994,25 to 29 years,20219,24210
Germany,1994,DE1994,30 to 34 years,24239,23073
Germany,1994,DE1994,35 to 39 years,28707,23880
Germany,1994,DE1994,40 to 44 years,22987,26424
Germany,1994,DE1994,45 to 49 years,28010,29628
Germany,1994,DE1994,50 to 54 years,26285,29253
Germany,1994,DE1994,55 to 59 years,22292,28036
Germany,1994,DE1994,60 to 64 years,16285,22867
Germany,1994,DE1994,65 to 69 years,18403,23618
Germany,1994,DE1994,70 to 74 years,18177,22800
Germany,1994,DE1994,75 to 79 years,18053,22620
Germany,1994,DE1994,80 years and over,16710,19745
Spain,2000,ES2000,14 and Under,0,0
Spain,2000,ES2000,15 to 19 years,0,0
Spain,2000,ES2000,20 to 24 years,0,17961
Spain,2000,ES2000,25 to 29 years,22026,19842
Spain,2000,ES2000,30 to 34 years,21668,20741
Spain,2000,ES2000,35 to 39 years,32771,18411
Spain,2000,ES2000,40 to 44 years,30660,19760
Spain,2000,ES2000,45 to 49 years,0,23145
Spain,2000,ES2000,50 to 54 years,0,23403
Spain,2000,ES2000,55 to 59 years,16475,22974
Spain,2000,ES2000,60 to 64 years,11144,18708
Spain,2000,ES2000,65 to 69 years,10438,16757
Spain,2000,ES2000,70 to 74 years,10284,14697
Spain,2000,ES2000,75 to 79 years,9788,14281
Spain,2000,ES2000,80 years and over,9395,15045
Spain,2004,ES2004,14 and Under,0,0
Spain,2004,ES2004,15 to 19 years,0,0
Spain,2004,ES2004,20 to 24 years,0,16406
Spain,2004,ES2004,25 to 29 years,19444,21882
Spain,2004,ES2004,30 to 34 years,20714,22796
Spain,2004,ES2004,35 to 39 years,24765,18642
Spain,2004,ES2004,40 to 44 years,22191,18409
Spain,2004,ES2004,45 to 49 years,22197,21744
Spain,2004,ES2004,50 to 54 years,13611,23002
Spain,2004,ES2004,55 to 59 years,15250,22323
Spain,2004,ES2004,60 to 64 years,12333,19114
Spain,2004,ES2004,65 to 69 years,10802,16578
Spain,2004,ES2004,70 to 74 years,11111,15185
Spain,2004,ES2004,75 to 79 years,9785,13388
Spain,2004,ES2004,80 years and over,0,0
Spain,2007,ES2007,14 and Under,0,0
Spain,2007,ES2007,15 to 19 years,0,0
Spain,2007,ES2007,20 to 24 years,0,18751
Spain,2007,ES2007,25 to 29 years,20064,24155
Spain,2007,ES2007,30 to 34 years,23572,24059
Spain,2007,ES2007,35 to 39 years,23572,21695
Spain,2007,ES2007,40 to 44 years,23687,20604
